Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.10257,0.13653,0.15249,0,0,0,0.99367,0.0042756,-1.1857E-08,-2.4905E-06,0.0042755,6.572E-09,0.00070555,0,0,0,0,0,0,package://plastic_water_bottle/meshes/base_link.STL,0.41176,0.13333,0.96863,1,0,0,0,0,0,0,package://plastic_water_bottle/meshes/base_link.STL,plastic,plastic_water01.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00039999,1.3626E-08,0.24775,0,0,0,0.053414,1.1543E-05,-2.1688E-10,9.6644E-10,1.1542E-05,9.8098E-12,1.3968E-05,0,0,0,0,0,0,package://plastic_water_bottle/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://plastic_water_bottle/meshes/link1.STL,platic01,plastic_water02.step-1,Origin_joint1,,joint1,fixed,0.10237,-0.042427,0.13625,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
